datetime_utc,distance_au,velocity_km_s,designation,name,diameter_km,potentially_hazardous
2020-01-01 00:54,0.0211660525256395,5.62203195551878,2020 AY1,,nan,False
2020-01-01 02:06,0.0361009669651545,7.35926323695148,2019 YK,,nan,False
2020-01-01 03:31,0.162008280404152,2.79339217149069,2013 EC20,,nan,False
2020-01-01 07:18,0.159657027754696,4.15293831675084,2020 AM1,,nan,False
2020-01-01 08:44,0.276326257736385,17.5484457306842,2016 EF195,,nan,False
2020-01-01 11:13,0.016740489928579,5.19125156562752,2020 AP3,,nan,False
2020-01-01 14:36,0.0643318775843554,12.790446366754,2011 YE40,,nan,False
2020-01-01 14:55,0.134597422722518,5.0028249278882,2019 WE5,,nan,False
2020-01-01 15:16,0.237147202802357,13.298797436931,2020 AE2,,nan,False
2020-01-01 21:01,0.131087507929499,6.64552237328032,2020 JU,,nan,True
2020-01-01 21:18,0.020214316165424,15.352815636266,2020 AN2,,nan,False
2020-01-01 21:59,0.19887863840532,17.7744595856975,2011 HS60,,nan,False
2020-01-01 22:49,0.0496561819852301,7.31673540668655,2020 AX,,nan,False
